county,countyname,state,max_pop_county,max_pop_countyname,mi_to_county,dist_cat,meat_plant
37071,Gaston County,NC,37119,Mecklenburg County,19.64,2,N
18063,Hendricks County,IN,18097,Marion County,19.91,2,N
72129,San Lorenzo Municipio,PR,72127,San Juan Municipio,19.95,2,N
18081,Johnson County,IN,18097,Marion County,19.95,2,N
47187,Williamson County,TN,47037,Davidson County,19.95,2,N
34035,Somerset County,NJ,34021,Mercer County,20.05,2,N
36059,Nassau County,NY,36061,New York County,20.19,2,N
27019,Carver County,MN,27053,Hennepin County,20.4,2,N
39085,Lake County,OH,39035,Cuyahoga County,20.48,2,N
72085,Las Piedras Municipio,PR,72127,San Juan Municipio,20.76,2,N
54099,Wayne County,WV,54011,Cabell County,21.21,2,N
24003,Anne Arundel County,MD,24510,Baltimore County,21.37,2,N
21215,Spencer County,KY,21111,Jefferson County,21.45,2,N
27003,Anoka County,MN,27053,Hennepin County,21.71,2,N
72145,Vega Baja Municipio,PR,72127,San Juan Municipio,21.73,2,N
25017,Middlesex County,MA,25025,Suffolk County,21.74,2,N
5125,Saline County,AR,5119,Pulaski County,22.1,2,N
72019,Barranquitas Municipio,PR,72127,San Juan Municipio,22.12,2,N
34019,Hunterdon County,NJ,34021,Mercer County,22.4,2,N
42017,Bucks County,PA,42101,Philadelphia County,22.67,2,Y
72035,Cayey Municipio,PR,72127,San Juan Municipio,22.7,2,N
17043,DuPage County,IL,17031,Cook County,22.85,2,N
25009,Essex County,MA,25025,Suffolk County,22.88,2,N
8059,Jefferson County,CO,8031,Denver County,22.88,2,N
48397,Rockwall County,TX,48113,Dallas County,23.13,2,N
24025,Harford County,MD,24510,Baltimore County,23.32,2,N
28149,Warren County,MS,28049,Hinds County,23.36,2,N
50015,Lamoille County,VT,50007,Chittenden County,23.46,2,N
21211,Shelby County,KY,21111,Jefferson County,23.56,2,N
22103,St. Tammany Parish,LA,22071,Orleans Parish,23.6,2,N
1117,Shelby County,AL,1073,Jefferson County,23.7,2,N
55089,Ozaukee County,WI,55079,Milwaukee County,23.72,2,N
72089,Luquillo Municipio,PR,72127,San Juan Municipio,23.78,2,N
72009,Aibonito Municipio,PR,72127,San Juan Municipio,23.9,2,N
51650,Hampton city,VA,51810,Virginia Beach County,23.92,2,N
5085,Lonoke County,AR,5119,Pulaski County,24.01,2,N
19181,Warren County,IA,19153,Polk County,24.01,2,N
72101,Morovis Municipio,PR,72127,San Juan Municipio,24.04,2,N
19049,Dallas County,IA,19153,Polk County,24.3,2,N
35061,Valencia County,NM,35001,Bernalillo County,24.56,2,N
46101,Moody County,SD,46099,Minnehaha County,24.57,2,N
13223,Paulding County,GA,13121,Fulton County,24.6,2,N
37179,Union County,NC,37119,Mecklenburg County,24.61,2,N
27139,Scott County,MN,27053,Hennepin County,24.64,2,N
40027,Cleveland County,OK,40109,Oklahoma County,24.71,2,N
40083,Logan County,OK,40109,Oklahoma County,24.95,2,N
19169,Story County,IA,19153,Polk County,24.98,2,N
47147,Robertson County,TN,47037,Davidson County,25.21,3,N
29183,St. Charles County,MO,29510,St. Louis County,25.28,3,N
20079,Harvey County,KS,20173,Sedgwick County,25.34,3,N
23023,Sagadahoc County,ME,23005,Cumberland County,25.36,3,N
23001,Androscoggin County,ME,23005,Cumberland County,25.57,3,N
18145,Shelby County,IN,18097,Marion County,25.57,3,N
18011,Boone County,IN,18097,Marion County,25.58,3,N
9009,New Haven County,CT,9001,Fairfield County,25.64,3,N
5045,Faulkner County,AR,5119,Pulaski County,25.73,3,N
31155,Saunders County,NE,31055,Douglas County,25.8,3,N
13113,Fayette County,GA,13121,Fulton County,26.11,3,N
50023,Washington County,VT,50007,Chittenden County,26.14,3,N
50013,Grand Isle County,VT,50007,Chittenden County,26.15,3,N
16027,Canyon County,ID,16001,Ada County,26.21,3,N
72103,Naguabo Municipio,PR,72127,San Juan Municipio,26.24,3,N
36087,Rockland County,NY,36061,New York County,26.29,3,N
54053,Mason County,WV,54011,Cabell County,26.29,3,N
24029,Kent County,MD,24510,Baltimore County,26.35,3,N
18109,Morgan County,IN,18097,Marion County,26.56,3,N
33005,Cheshire County,NH,33011,Hillsborough County,26.59,3,N
27171,Wright County,MN,27053,Hennepin County,26.66,3,N
19099,Jasper County,IA,19153,Polk County,26.66,3,N
26125,Oakland County,MI,26163,Wayne County,26.7,3,N
31025,Cass County,NE,31055,Douglas County,26.76,3,N
33013,Merrimack County,NH,33011,Hillsborough County,26.88,3,N
46083,Lincoln County,SD,46099,Minnehaha County,27.06,3,N
72069,Humacao Municipio,PR,72127,San Juan Municipio,27.11,3,N
13247,Rockdale County,GA,13121,Fulton County,27.12,3,N
22089,St. Charles Parish,LA,22071,Orleans Parish,27.33,3,N
47165,Sumner County,TN,47037,Davidson County,27.61,3,N
47189,Wilson County,TN,47037,Davidson County,27.63,3,N
37109,Lincoln County,NC,37119,Mecklenburg County,27.63,3,N
72091,Manatí Municipio,PR,72127,San Juan Municipio,27.72,3,N
28029,Copiah County,MS,28049,Hinds County,27.73,3,N
25023,Plymouth County,MA,25025,Suffolk County,27.76,3,N
72107,Orocovis Municipio,PR,72127,San Juan Municipio,27.92,3,N
26115,Monroe County,MI,26163,Wayne County,27.96,3,N
13135,Gwinnett County,GA,13121,Fulton County,28.09,3,N
45015,Berkeley County,SC,45019,Charleston County,28.15,3,N
34005,Burlington County,NJ,34021,Mercer County,28.18,3,N
24013,Carroll County,MD,24510,Baltimore County,28.24,3,N
46087,McCook County,SD,46099,Minnehaha County,28.31,3,N
1127,Walker County,AL,1073,Jefferson County,28.49,3,N
36119,Westchester County,NY,36061,New York County,28.51,3,N
51735,Poquoson city,VA,51810,Virginia Beach County,28.63,3,N
50011,Franklin County,VT,50007,Chittenden County,28.64,3,N
72151,Yabucoa Municipio,PR,72127,San Juan Municipio,28.66,3,N
27163,Washington County,MN,27053,Hennepin County,28.66,3,N
21179,Nelson County,KY,21111,Jefferson County,28.66,3,N
41005,Clackamas County,OR,41051,Multnomah County,28.84,3,N
48139,Ellis County,TX,48113,Dallas County,29.02,3,N
34025,Monmouth County,NJ,34021,Mercer County,29.06,3,N
72043,Coamo Municipio,PR,72127,San Juan Municipio,29.07,3,N
49011,Davis County,UT,49035,Salt Lake County,29.35,3,N
13151,Henry County,GA,13121,Fulton County,29.47,3,N
