county,countyname,state,max_pop_county,max_pop_countyname,mi_to_county,dist_cat
48195,Hansford County,TX,48113,Dallas County,355.74,6
31033,Cheyenne County,NE,31055,Douglas County,356.17,6
56039,Teton County,WY,56021,Laramie County,356.17,6
48249,Jim Wells County,TX,48113,Dallas County,356.48,6
48443,Terrell County,TX,48113,Dallas County,357.62,6
12123,Taylor County,FL,12086,Miami-Dade County,359.10,6
48017,Bailey County,TX,48113,Dallas County,360.34,6
48341,Moore County,TX,48113,Dallas County,360.59,6
6075,San Francisco County,CA,6037,Los Angeles County,361.41,6
6061,Placer County,CA,6037,Los Angeles County,362.78,6
31013,Box Butte County,NE,31055,Douglas County,362.87,6
2050,Bethel Census Area,AK,2020,Anchorage Municipality,363.79,6
51169,Scott County,VA,51810,Virginia Beach County,364.78,6
51195,Wise County,VA,51810,Virginia Beach County,364.82,6
51720,Norton city,VA,51810,Virginia Beach County,365.07,6
6041,Marin County,CA,6037,Los Angeles County,365.40,6
48131,Duval County,TX,48113,Dallas County,366.06,6
48369,Parmer County,TX,48113,Dallas County,366.29,6
48117,Deaf Smith County,TX,48113,Dallas County,366.56,6
16021,Boundary County,ID,16001,Ada County,368.18,6
26003,Alger County,MI,26163,Wayne County,368.83,6
12047,Hamilton County,FL,12086,Miami-Dade County,368.84,6
26103,Marquette County,MI,26163,Wayne County,369.55,6
6113,Yolo County,CA,6037,Los Angeles County,369.92,6
31045,Dawes County,NE,31055,Douglas County,371.37,6
48273,Kleberg County,TX,48113,Dallas County,371.90,6
48495,Winkler County,TX,48113,Dallas County,372.22,6
6055,Napa County,CA,6037,Los Angeles County,373.89,6
26071,Iron County,MI,26163,Wayne County,374.50,6
48371,Pecos County,TX,48113,Dallas County,375.20,6
48479,Webb County,TX,48113,Dallas County,377.18,6
6057,Nevada County,CA,6037,Los Angeles County,378.70,6
48421,Sherman County,TX,48113,Dallas County,378.92,6
48359,Oldham County,TX,48113,Dallas County,379.41,6
30053,Lincoln County,MT,30111,Yellowstone County,379.52,6
48475,Ward County,TX,48113,Dallas County,380.08,6
12079,Madison County,FL,12086,Miami-Dade County,380.11,6
6101,Sutter County,CA,6037,Los Angeles County,384.88,6
6115,Yuba County,CA,6037,Los Angeles County,389.83,6
12037,Franklin County,FL,12086,Miami-Dade County,391.56,6
12065,Jefferson County,FL,12086,Miami-Dade County,391.65,6
31157,Scotts Bluff County,NE,31055,Douglas County,392.09,6
6091,Sierra County,CA,6037,Los Angeles County,392.14,6
12129,Wakulla County,FL,12086,Miami-Dade County,392.36,6
31105,Kimball County,NE,31055,Douglas County,392.51,6
31007,Banner County,NE,31055,Douglas County,392.57,6
51105,Lee County,VA,51810,Virginia Beach County,393.41,6
48205,Hartley County,TX,48113,Dallas County,394.69,6
26013,Baraga County,MI,26163,Wayne County,394.72,6
32013,Humboldt County,NV,32003,Clark County,396.00,6
6097,Sonoma County,CA,6037,Los Angeles County,396.94,6
31165,Sioux County,NE,31055,Douglas County,398.69,6
32031,Washoe County,NV,32003,Clark County,400.82,6
48301,Loving County,TX,48113,Dallas County,401.12,6
48047,Brooks County,TX,48113,Dallas County,405.27,6
12073,Leon County,FL,12086,Miami-Dade County,406.55,6
6011,Colusa County,CA,6037,Los Angeles County,408.53,6
48261,Kenedy County,TX,48113,Dallas County,408.95,6
48111,Dallam County,TX,48113,Dallas County,410.62,6
48247,Jim Hogg County,TX,48113,Dallas County,411.99,6
12045,Gulf County,FL,12086,Miami-Dade County,415.53,6
12077,Liberty County,FL,12086,Miami-Dade County,417.44,6
48389,Reeves County,TX,48113,Dallas County,418.37,6
26061,Houghton County,MI,26163,Wayne County,419.65,6
6033,Lake County,CA,6037,Los Angeles County,419.82,6
6007,Butte County,CA,6037,Los Angeles County,420.44,6
48505,Zapata County,TX,48113,Dallas County,423.85,6
6063,Plumas County,CA,6037,Los Angeles County,424.85,6
12039,Gadsden County,FL,12086,Miami-Dade County,425.03,6
48043,Brewster County,TX,48113,Dallas County,433.34,6
26053,Gogebic County,MI,26163,Wayne County,433.54,6
48489,Willacy County,TX,48113,Dallas County,437.00,6
12013,Calhoun County,FL,12086,Miami-Dade County,437.12,6
6021,Glenn County,CA,6037,Los Angeles County,437.87,6
26083,Keweenaw County,MI,26163,Wayne County,442.63,6
48427,Starr County,TX,48113,Dallas County,445.24,6
12005,Bay County,FL,12086,Miami-Dade County,447.51,6
48215,Hidalgo County,TX,48113,Dallas County,448.15,6
26131,Ontonagon County,MI,26163,Wayne County,457.77,6
12063,Jackson County,FL,12086,Miami-Dade County,458.42,6
48243,Jeff Davis County,TX,48113,Dallas County,460.10,6
2270,Wade Hampton Census Area,AK,2020,Anchorage Municipality,460.83,6
6045,Mendocino County,CA,6037,Los Angeles County,461.34,6
48061,Cameron County,TX,48113,Dallas County,462.36,6
48109,Culberson County,TX,48113,Dallas County,462.47,6
6103,Tehama County,CA,6037,Los Angeles County,464.25,6
12133,Washington County,FL,12086,Miami-Dade County,466.76,6
6035,Lassen County,CA,6037,Los Angeles County,469.09,6
48377,Presidio County,TX,48113,Dallas County,480.68,6
12059,Holmes County,FL,12086,Miami-Dade County,486.15,6
2230,Skagway Municipality,AK,2020,Anchorage Municipality,487.74,6
12131,Walton County,FL,12086,Miami-Dade County,489.77,6
2100,Haines Borough,AK,2020,Anchorage Municipality,491.50,6
6089,Shasta County,CA,6037,Los Angeles County,498.55,6
12091,Okaloosa County,FL,12086,Miami-Dade County,509.63,6
48229,Hudspeth County,TX,48113,Dallas County,511.26,6
2188,Northwest Arctic Borough,AK,2020,Anchorage Municipality,515.64,6
6105,Trinity County,CA,6037,Los Angeles County,519.00,6
6049,Modoc County,CA,6037,Los Angeles County,528.24,6
2180,Nome Census Area,AK,2020,Anchorage Municipality,528.54,6
12113,Santa Rosa County,FL,12086,Miami-Dade County,530.21,6
2105,Hoonah-Angoon Census Area,AK,2020,Anchorage Municipality,535.45,6
12033,Escambia County,FL,12086,Miami-Dade County,541.22,6
6023,Humboldt County,CA,6037,Los Angeles County,546.39,6
48141,El Paso County,TX,48113,Dallas County,556.97,6
2110,Juneau City and Borough,AK,2020,Anchorage Municipality,558.12,6
6093,Siskiyou County,CA,6037,Los Angeles County,561.11,6
2220,Sitka City and Borough,AK,2020,Anchorage Municipality,565.46,6
2185,North Slope Borough,AK,2020,Anchorage Municipality,583.89,6
6015,Del Norte County,CA,6037,Los Angeles County,607.44,6
2013,Aleutians East Borough,AK,2020,Anchorage Municipality,615.37,6
2195,Petersburg Census Area,AK,2020,Anchorage Municipality,641.08,6
2275,Wrangell City and Borough,AK,2020,Anchorage Municipality,701.71,6
2198,Prince of Wales-Hyder Census Area,AK,2020,Anchorage Municipality,713.19,6
2130,Ketchikan Gateway Borough,AK,2020,Anchorage Municipality,765.19,6
2016,Aleutians West Census Area,AK,2020,Anchorage Municipality,1368.11,6
